"Service Request #","Date Request Opened","Request Status","SLA","Service Group","Agency Responsible","Request Name","Street Address","Latitude","Longitude","Location","TNI Area Description"
"22-00012160","2022 Feb 10 02:43:21 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5302 WATER ST",,,,"County Address"
"22-00012158","2022 Feb 10 02:39:53 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","FORBES BLVD & ANNAPOLIS RD",,,,"County Address"
"22-00012157","2022 Feb 10 02:39:30 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","IVERSON ST & SB BRANCH AVE OFRP WB IVERSON ST",,,,"County Address"
"22-00012155","2022 Feb 10 02:37:47 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SOUTHERN AVE & PENNSYLVANIA AVE",,,,"County Address"
"22-00012154","2022 Feb 10 02:36:31 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ALLENTOWN RD & AUTH RD",,,,"County Address"
"22-00012152","2022 Feb 10 02:36:26 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","2300 SANSBURY RD","38.85699572","-76.84240036","    (38.85699572, -76.84240036)","County Address"
"22-00012147","2022 Feb 10 02:31:14 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11300 WHITE HOUSE RD","38.87123752","-76.81172036","    (38.87123752, -76.81172036)","County Address"
"22-00012146","2022 Feb 10 02:26:39 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15311 HALL RD","38.9035055","-76.73847043","    (38.9035055, -76.73847043)","County Address"
"22-00012133","2022 Feb 10 01:49:16 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SAN JUAN DR & CHRIS MAR AVE",,,,"County Address"
"22-00012131","2022 Feb 10 01:45:13 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","6024 AUTH RD","38.81848962","-76.90224882","    (38.81848962, -76.90224882)","County Address"
"22-00012127","2022 Feb 10 01:33:31 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","16904 SUPPLEE LN","39.12205424","-76.88644266","    (39.12205424, -76.88644266)","County Address"
"22-00012123","2022 Feb 10 01:24:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ALLENTOWN RD & OLD BRANCH AVE",,,,"County Address"
"22-00012061","2022 Feb 10 11:54:12 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","ADDISON RD & CENTRAL AVE",,,,"County Address"
"22-00012044","2022 Feb 10 11:35:09 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","7729 GARRISON RD","38.95061222","-76.87893742","    (38.95061222, -76.87893742)","Woodlawn - Lanham"
"22-00012016","2022 Feb 10 10:35:27 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","INGRAHAM ST & LA SALLE RD",,,,"County Address"
"22-00012005","2022 Feb 10 10:13:07 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11408 TIPPETT RD","38.7329406","-76.9224008","    (38.7329406, -76.9224008)","County Address"
"22-00012002","2022 Feb 10 10:10:01 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","100 CHURCH RD","38.96369636","-76.76897083","    (38.96369636, -76.76897083)","County Address"
"22-00011993","2022 Feb 10 09:59:28 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","14999 HEALTH CENTER DR","38.94938388","-76.74498967","    (38.94938388, -76.74498967)","County Address"
"22-00011977","2022 Feb 10 09:38:02 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6704 LEYTE DR",,,,"County Address"
"22-00011942","2022 Feb 10 08:37:07 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13317 OLD FORT RD","38.70844767","-77.0138968","    (38.70844767, -77.0138968)","County Address"
"22-00011927","2022 Feb 10 07:59:01 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","10503 MEADOWLAKE TER","38.90932525","-76.82310676","    (38.90932525, -76.82310676)","County Address"
"22-00011913","2022 Feb 10 07:44:27 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","GLEN WILLOW DR & MARTIN LUTHER KING JR HWY",,,,"County Address"
"22-00011903","2022 Feb 10 07:09:53 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","1625 VILLAGE GREEN DR","38.91255227","-76.8786156","    (38.91255227, -76.8786156)","Kentland / Palmer Park"
"22-00011848","2022 Feb 09 05:51:26 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","7500 WALKER MILL RD","38.87584484","-76.87656763","    (38.87584484, -76.87656763)","County Address"
"22-00011847","2022 Feb 09 05:47:07 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12919 INDIAN HEAD HWY","38.7132518","-76.99117393","    (38.7132518, -76.99117393)","County Address"
"22-00011842","2022 Feb 09 05:19:31 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","NAPLES AVE & CAROLINE AVE",,,,"County Address"
"22-00011837","2022 Feb 09 05:09:13 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5506 CHURCH RD","38.96479402","-76.76711127","    (38.96479402, -76.76711127)","County Address"
"22-00011827","2022 Feb 09 04:30:30 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","10400 TIPPETT RD","38.74582567","-76.93059054","    (38.74582567, -76.93059054)","County Address"
"22-00011823","2022 Feb 09 04:17:02 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","OXON RUN DR & OXON PARK ST",,,,"County Address"
"22-00011813","2022 Feb 09 04:07:26 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","12209 WHEELING AVE","38.76838407","-76.79439613","    (38.76838407, -76.79439613)","County Address"
"22-00011812","2022 Feb 09 04:05:09 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHURCH RD & OLD ANNAPOLIS RD",,,,"County Address"
"22-00011772","2022 Feb 09 02:42:34 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD FORT RD & INDIAN HEAD HWY",,,,"County Address"
"22-00011752","2022 Feb 09 01:59:44 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","GARDNER RD & ACCOKEEK RD",,,,"County Address"
"22-00011708","2022 Feb 09 01:05:13 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHESTNUT AVE & 5TH ST",,,,"County Address"
"22-00011683","2022 Feb 09 12:40:13 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MCKENDREE RD & ACCOKEEK RD",,,,"County Address"
"22-00011679","2022 Feb 09 12:34:59 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4701 DEER PARK DR","38.82479162","-76.95290313","    (38.82479162, -76.95290313)","County Address"
"22-00011671","2022 Feb 09 12:23:27 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRISTOL PL & 23RD PKY",,,,"County Address"
"22-00011649","2022 Feb 09 11:54:02 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1120 SOUTHVIEW DR",,,,"County Address"
"22-00011634","2022 Feb 09 11:31:02 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","25TH AVE & AFTON ST",,,,"County Address"
"22-00011618","2022 Feb 09 11:13:19 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3100 MILL BRANCH RD",,,,"County Address"
"22-00011601","2022 Feb 09 10:37:58 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3111 MILL BRANCH RD","38.93449229","-76.71127251","    (38.93449229, -76.71127251)","County Address"
"22-00011594","2022 Feb 09 10:30:58 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","17921 MILL BRANCH PL","38.93130407","-76.6950457","    (38.93130407, -76.6950457)","County Address"
"22-00011592","2022 Feb 09 10:28:11 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","17821 MILL BRANCH PL","38.93217553","-76.69583097","    (38.93217553, -76.69583097)","County Address"
"22-00011588","2022 Feb 09 10:13:35 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","THRIFT RD & PISCATAWAY RIDGE RD",,,,"County Address"
"22-00011563","2022 Feb 09 09:45:44 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5503 CHURCH RD","38.96517656","-76.76601092","    (38.96517656, -76.76601092)","County Address"
"22-00011545","2022 Feb 09 09:11:50 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8608 OLD BRANCH AVE","38.77055906","-76.89997083","    (38.77055906, -76.89997083)","County Address"
"22-00011543","2022 Feb 09 09:10:43 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15201 MOUNT OAK RD","38.9237938","-76.74139279","    (38.9237938, -76.74139279)","County Address"
"22-00011541","2022 Feb 09 09:05:23 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRANDYWINE RD & PISCATAWAY RD",,,,"County Address"
"22-00011540","2022 Feb 09 09:03:50 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8600 OLD BRANCH AVE","38.77151113","-76.89960844","    (38.77151113, -76.89960844)","County Address"
"22-00011529","2022 Feb 09 08:45:41 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","DENMAR LN & OLD STAGE RD",,,,"County Address"
"22-00011514","2022 Feb 09 08:18:54 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","MADISON ST & 61ST PL",,,,"County Address"
"22-00011504","2022 Feb 09 07:51:48 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","FAIRWOOD RD & WARNER AVE",,,,"County Address"
"22-00011471","2022 Feb 09 03:52:06 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6801 OLD BRANCH AVE","38.79627171","-76.9012627","    (38.79627171, -76.9012627)","County Address"
"22-00011456","2022 Feb 08 06:56:55 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15231 HALL RD","38.90295927","-76.74043961","    (38.90295927, -76.74043961)","County Address"
"22-00011453","2022 Feb 08 06:37:03 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","8811 OLD BRANCH AVE","38.76790746","-76.90006861","    (38.76790746, -76.90006861)","County Address"
"22-00011437","2022 Feb 08 05:47:34 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","LONG VIEW RD & NEWMAN RD",,,,"County Address"
"22-00011432","2022 Feb 08 05:25:38 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5407 19TH AVE","38.95253872","-76.97740677","    (38.95253872, -76.97740677)","County Address"
"22-00011427","2022 Feb 08 05:11:37 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8520 Pennsylvania Ave",,,,"County Address"
"22-00011419","2022 Feb 08 04:52:18 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","FAIRWOOD PKY & ANNAPOLIS RD",,,,"County Address"
"22-00011393","2022 Feb 08 04:09:12 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","14201 OLD STAGE RD","38.95757861","-76.75877051","    (38.95757861, -76.75877051)","County Address"
"22-00011360","2022 Feb 08 03:12:20 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","7462 BOCK RD",,,,"County Address"
"22-00011357","2022 Feb 08 03:08:46 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","TUCKER RD & ALLENTOWN RD",,,,"County Address"
"22-00011350","2022 Feb 08 02:54:41 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2825 IVERSON ST","38.83747545","-76.94919037","    (38.83747545, -76.94919037)","Hillcrest Heights / Marlow Heights"
"22-00011344","2022 Feb 08 02:46:28 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","4910 HENDERSON RD","38.81760126","-76.92320876","    (38.81760126, -76.92320876)","County Address"
"22-00011343","2022 Feb 08 02:40:22 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1101 PALMER RD",,,,"County Address"
"22-00011296","2022 Feb 08 01:23:27 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","RACE TRACK RD & NORMAL SCHOOL RD",,,,"County Address"
"22-00011293","2022 Feb 08 01:18:08 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","3600 LUMAR DR","38.78377013","-76.94523885","    (38.78377013, -76.94523885)","County Address"
"22-00011257","2022 Feb 08 12:47:15 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8416 NAVAHOE DR","38.99790611","-76.98675166","    (38.99790611, -76.98675166)","County Address"
"22-00011212","2022 Feb 08 11:42:50 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","101 HERRINGTON DR","38.89029599","-76.81325374","    (38.89029599, -76.81325374)","County Address"
"22-00011196","2022 Feb 08 11:11:16 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD BRANCH AVE & KIRBY RD",,,,"County Address"
"22-00011177","2022 Feb 08 10:40:43 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5803 HILLMEADE RD","38.9705709","-76.7828362","    (38.9705709, -76.7828362)","County Address"
"22-00011170","2022 Feb 08 10:19:29 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10710 TUCKER ST","39.02721865","-76.91126687","    (39.02721865, -76.91126687)","County Address"
"22-00011160","2022 Feb 08 10:03:41 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5403 CHURCH RD","38.96481621","-76.76598006","    (38.96481621, -76.76598006)","County Address"
"22-00011137","2022 Feb 08 09:26:48 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3730 RHODE ISLAND AVE","38.93909259","-76.95603895","    (38.93909259, -76.95603895)","County Address"
"22-00011134","2022 Feb 08 09:18:34 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","ROBERT CRAIN HWY NE & FEDERAL HILL CT",,,,"County Address"
"22-00011127","2022 Feb 08 09:11:54 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","28TH AVE & SAINT BARNABAS RD",,,,"County Address"
"22-00011125","2022 Feb 08 09:09:09 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRANCH AVE & IVERSON ST",,,,"County Address"
"22-00011123","2022 Feb 08 09:05:08 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD BRANCH AVE & WOLVERTON LN",,,,"County Address"
"22-00011105","2022 Feb 08 08:42:30 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1817 WEST HWY",,,,"County Address"
"22-00011100","2022 Feb 08 08:39:32 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","THRIFT RD & BROKEN LANCE CT",,,,"County Address"
"22-00011088","2022 Feb 08 08:21:29 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","7427 WALKER MILL DR","38.88772558","-76.87759136","    (38.88772558, -76.87759136)","County Address"
"22-00011069","2022 Feb 08 07:43:31 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11107 MONTGOMERY RD","39.03889341","-76.92224083","    (39.03889341, -76.92224083)","County Address"
"22-00011061","2022 Feb 08 06:43:20 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5401 CHURCH RD","38.96409262","-76.76596921","    (38.96409262, -76.76596921)","County Address"
"22-00011030","2022 Feb 07 07:06:46 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ACCOKEEK RD & MCKENDREE RD",,,,"County Address"
"22-00011025","2022 Feb 07 06:42:27 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8344 WOODYARD RD","38.77437184","-76.87104385","    (38.77437184, -76.87104385)","County Address"
"22-00011024","2022 Feb 07 06:36:08 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8815 WOODYARD RD",,,,"County Address"
"22-00011008","2022 Feb 07 05:02:14 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BEALLE HILL RD & ACCOKEEK RD",,,,"County Address"
"22-00011000","2022 Feb 07 04:31:19 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","FOREST PARK DR & RITCHIE RD",,,,"County Address"
"22-00010978","2022 Feb 07 03:59:19 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","BOCK RD & HOLLY DR",,,,"County Address"
"22-00010969","2022 Feb 07 03:32:45 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","HALL RD & POINTER RIDGE DR",,,,"County Address"
"22-00010966","2022 Feb 07 03:30:12 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","BENNING RD & MARLBORO PIKE",,,,"County Address"
